b_a,counts,error
0.025,-0.013513513513514,0.0
0.075,0.0135135135135131,0.0
0.125,0.1621621621621622,0.027027027027027112
0.175,0.493243243243243,0.054054054054054
0.22499999999999998,0.7787162162162158,0.06418918918918859
0.27499999999999997,1.0574324324324331,0.0777027027027033
0.325,1.0456081081081092,0.079391891891893
0.375,1.135135135135135,0.08783783783783772
0.425,1.0658783783783785,0.09797297297297336
0.475,1.244932432432432,0.08952702702702675
0.5249999999999999,1.302364864864865,0.1199324324324329
0.575,1.2246621621621625,0.20439189189189233
0.625,1.493243243243243,0.22972972972972938
0.6749999999999999,1.5185810810810807,0.22804054054054035
0.725,1.554054054054054,0.12162162162162149
0.7749999999999999,1.5270270270270268,0.2364864864864864
0.825,1.3716216216216215,0.11486486486486447
0.875,1.2364864864864868,0.11486486486486536
0.9249999999999999,1.1554054054054053,0.19763513513513464
0.975,0.5337837837837833,0.07432432432432412
